,disease,drug
1266,ADHD (Attention Deficit Hyperactivity Disorder),bupropion
1267,ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
1268,ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
1269,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
1270,ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
1271,ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
1272,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
1273,ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
1274,ADHD (Attention Deficit Hyperactivity Disorder),clonidine
1275,ADHD (Attention Deficit Hyperactivity Disorder),bupropion
1276,ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
1277,ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
1278,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
1279,ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
1280,ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
1281,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
1282,ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
1283,ADHD (Attention Deficit Hyperactivity Disorder),clonidine
1284,ADHD (Attention Deficit Hyperactivity Disorder),bupropion
1285,ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
1286,ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
1287,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
1288,ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
1289,Alcoholism,gabapentin enacarbil
1290,Auditory Processing Disorder,dexmethylphenidate
1291,Auditory Processing Disorder,dexmethylphenidate
1292,Auditory Processing Disorder,dexmethylphenidate
1293,Autism,risperidone
1294,Autism,aripiprazole
1295,Autism,venlafaxine
1296,Autism,ziprasidone
1297,Autism,memantine
1298,Autism,paliperidone
1299,Autism,bumetanide
1300,Autism,risperidone
1301,Autism,aripiprazole
1302,Autism,venlafaxine
1303,Autism,ziprasidone
1304,Autism,memantine
1305,Autism,paliperidone
1306,Autism,bumetanide
1307,Autism,risperidone
1308,Autism,aripiprazole
1309,Autism,venlafaxine
1310,Autism,ziprasidone
1311,Autism,memantine
1312,Autism,paliperidone
1313,Autism,bumetanide
1314,Autoimmune Hemolytic Anemia,prednisone
1315,Autoimmune Hepatitis,azathioprine
1316,Autoimmune Hepatitis,budesonide
1317,Autoimmune Hepatitis,mercaptopurine
1318,Autoimmune Hepatitis,mycophenolate mofetil
1319,Autoimmune Neutropenia,immune globulin intravenous
1320,Polycystic Kidney Disease,enalapril
1321,Polycystic Kidney Disease,lisinopril
1322,Polycystic Kidney Disease,captopril
1323,AV Heart Block,atropine
1324,AV Heart Block,epinephrine
1325,AV Heart Block,isoproterenol
1326,Aseptic Necrosis,ibuprofen
1327,Aseptic Necrosis,alendronate
1328,Aseptic Necrosis,diclofenac
1329,Aseptic Necrosis,aspirin
1330,Aseptic Necrosis,naproxen
1331,Avian Influenza,oseltamivir
1332,Avian Influenza,"influenza virus vaccine, h5n1"
1333,Aseptic Necrosis,ibuprofen
1334,Aseptic Necrosis,alendronate
1335,Aseptic Necrosis,diclofenac
1336,Aseptic Necrosis,aspirin
1337,Aseptic Necrosis,naproxen
1338,B Cell Lymphoma,tisagenlecleucel
1339,B Cell Lymphoma,tisagenlecleucel
1340,B12 Nutritional Deficiency,cyanocobalamin
1341,Babesiosis,clindamycin
1342,Babesiosis,atovaquone
1343,Babesiosis,azithromycin
1344,Back Pain,tramadol
1345,Back Pain,ibuprofen
1346,Back Pain,acetaminophen / hydrocodone
1347,Back Pain,naproxen
1348,Back Pain,diclofenac
1349,Back Pain,duloxetine
1350,Back Pain,aspirin
1351,Back Pain,nabumetone
1352,Back Pain,tramadol
1353,Back Pain,ibuprofen
1354,Back Pain,acetaminophen / hydrocodone
1355,Back Pain,naproxen
1356,Back Pain,diclofenac
1357,Back Pain,duloxetine
1358,Back Pain,aspirin
1359,Back Pain,nabumetone
1360,Bacteremia,ceftriaxone
1361,Bacteremia,ciprofloxacin
1362,Bacteremia,clindamycin
1363,Bacteremia,cefotaxime
1364,Bacteremia,metronidazole
1365,Bacteremia,vancomycin
1366,Bacteremia,amikacin
1367,Bacteremia,cefepime
1368,Bacteremia,ceftazidime
1369,Bacteremia,piperacillin / tazobactam
1370,Bacteremia,cilastatin / imipenem
1371,Bacteremia,gentamicin
1372,Bacteremia,linezolid
1373,"Conjunctivitis, Bacterial",erythromycin
1374,"Conjunctivitis, Bacterial",tobramycin
1375,"Conjunctivitis, Bacterial",ciprofloxacin
1376,"Conjunctivitis, Bacterial",gentamicin
1377,"Conjunctivitis, Bacterial",polymyxin b / trimethoprim
1378,"Conjunctivitis, Bacterial",ofloxacin
1379,"Conjunctivitis, Bacterial",moxifloxacin
1380,"Conjunctivitis, Bacterial",dexamethasone / tobramycin
1381,"Conjunctivitis, Bacterial",azithromycin
1382,"Conjunctivitis, Bacterial",bacitracin
1383,"Conjunctivitis, Bacterial",dexamethasone / neomycin / polymyxin b
1384,Campylobacter Gastroenteritis,erythromycin
1385,Campylobacter Gastroenteritis,ofloxacin
1386,Campylobacter Gastroenteritis,minocycline
1387,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),amoxicillin
1388,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),cephalexin
1389,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),clarithromycin
1390,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),clindamycin
1391,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),azithromycin
1392,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),erythromycin
1393,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),ceftriaxone
1394,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),vancomycin
1395,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),cefadroxil
1396,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),cefazolin
1397,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),ampicillin
1398,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),gentamicin
1399,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),amoxicillin
1400,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),cephalexin
1401,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),clarithromycin
1402,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),clindamycin
1403,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),azithromycin
1404,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),erythromycin
1405,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),ceftriaxone
1406,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),vancomycin
1407,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),cefadroxil
1408,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),cefazolin
1409,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),ampicillin
1410,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),gentamicin
1411,"Conjunctivitis, Bacterial",erythromycin
1412,"Conjunctivitis, Bacterial",tobramycin
1413,"Conjunctivitis, Bacterial",ciprofloxacin
1414,"Conjunctivitis, Bacterial",gentamicin
1415,"Conjunctivitis, Bacterial",polymyxin b / trimethoprim
1416,"Conjunctivitis, Bacterial",ofloxacin
1417,"Conjunctivitis, Bacterial",moxifloxacin
1418,"Conjunctivitis, Bacterial",dexamethasone / tobramycin
1419,"Conjunctivitis, Bacterial",azithromycin
1420,"Conjunctivitis, Bacterial",bacitracin
1421,"Conjunctivitis, Bacterial",dexamethasone / neomycin / polymyxin b
1422,Bacterial Infection,amoxicillin
1423,Bacterial Infection,ciprofloxacin
1424,Bacterial Infection,clindamycin
1425,Bacterial Infection,doxycycline
1426,Bacterial Infection,cephalexin
1427,Bacterial Infection,metronidazole
1428,Bacterial Infection,ceftriaxone
1429,Bacterial Infection,levofloxacin
1430,Bacterial Infection,sulfamethoxazole / trimethoprim
1431,Bacterial Infection,azithromycin
1432,Bacterial Infection,amoxicillin / clavulanate
1433,Bacterial Infection,vancomycin
1434,Bacterial Infection,cefuroxime
1435,Bacterial Skin Infection,sulfamethoxazole / trimethoprim
1436,Bacterial Skin Infection,bacitracin
1437,Bacterial Skin Infection,bacitracin / neomycin / polymyxin b
1438,Bacterial Skin Infection,benzalkonium chloride / lidocaine
1439,Bacterial Skin Infection,bacitracin / polymyxin b
1440,Bacterial Skin Infection,hydrocortisone / neomycin / polymyxin b
1441,Bacterial Skin Infection,bacitracin / hydrocortisone / neomycin / polymyxin b
1442,Bacterial Skin Infection,fluocinolone / neomycin
1443,Bacterial Skin Infection,bacitracin / neomycin / polymyxin b / pramoxine
1444,Bacterial Skin Infection,neomycin / polymyxin b / pramoxine
1445,Bacterial Vaginitis,metronidazole
1446,Bacterial Vaginitis,clindamycin
1447,Bacterial Vaginitis,metronidazole
1448,Bacterial Vaginitis,clindamycin
1449,Bacterial Vaginitis,acetic acid
1450,Bacterial Vaginitis,tinidazole
1451,Bacterial Vaginitis,secnidazole
1452,Bacterial Vaginitis,metronidazole
1453,Bacterial Vaginitis,clindamycin
1454,Bacterial Vaginitis,metronidazole
1455,Bacterial Vaginitis,clindamycin
1456,Bacterial Vaginitis,acetic acid
1457,Bacterial Vaginitis,tinidazole
1458,Bacterial Vaginitis,secnidazole
1459,Vertigo,meclizine
1460,Vertigo,promethazine
1461,Balanoposthitis,clotrimazole
1462,Balanoposthitis,metronidazole
1463,Balanoposthitis,miconazole
1464,Balanoposthitis,clotrimazole
1465,Balanoposthitis,metronidazole
1466,Balanoposthitis,miconazole
1467,Balantidium coli,metronidazole
1468,Alopecia,spironolactone
1469,Alopecia,minoxidil
1470,Alopecia,triamcinolone
1471,Alopecia,sulfasalazine
1472,Alopecia,spironolactone
1473,Alopecia,minoxidil
1474,Alopecia,triamcinolone
1475,Alopecia,sulfasalazine
1476,Alopecia,spironolactone
1477,Alopecia,minoxidil
1478,Alopecia,triamcinolone
1479,Alopecia,sulfasalazine
1480,Androgenetic Alopecia,finasteride
1481,Androgenetic Alopecia,ketoconazole
1482,Tinea Barbae,griseofulvin
1483,Barium Meal Transit,sincalide
1484,Barium Poisoning,magnesium sulfate
1485,Mitral Valve Prolapse,atenolol
1486,Mitral Valve Prolapse,metoprolol
1487,Mitral Valve Prolapse,propranolol
1488,Mitral Valve Prolapse,bisoprolol
1489,Mitral Valve Prolapse,nebivolol
1490,Mitral Valve Prolapse,nadolol
1491,Mitral Valve Prolapse,labetalol
1492,Barrett's Esophagus,omeprazole
1493,Barrett's Esophagus,pantoprazole
1494,Barrett's Esophagus,esomeprazole
1495,Barrett's Esophagus,lansoprazole
1496,Barrett's Esophagus,rabeprazole
1497,Barrett's Esophagus,dexlansoprazole
1498,Barrett's Esophagus,omeprazole
1499,Barrett's Esophagus,pantoprazole
1500,Barrett's Esophagus,esomeprazole
1501,Barrett's Esophagus,lansoprazole
1502,Barrett's Esophagus,rabeprazole
1503,Barrett's Esophagus,dexlansoprazole
1504,Bartonellosis,rifampin
1505,Bartonellosis,doxycycline
1506,Bartonellosis,azithromycin
1507,Bartonellosis,minocycline
1508,Bartonellosis,erythromycin
1509,Bartter Syndrome,indomethacin
1510,Basal Cell Carcinoma,fluorouracil
1511,Basal Cell Carcinoma,imiquimod
1512,Basal Cell Carcinoma,vismodegib
1513,Basal Cell Carcinoma,sonidegib
1514,Basal Cell Carcinoma,fluorouracil
1515,Basal Cell Carcinoma,imiquimod
1516,Basal Cell Carcinoma,vismodegib
1517,Basal Cell Carcinoma,sonidegib
1518,Migraine,sumatriptan
1519,Migraine,rizatriptan
1520,Migraine,gabapentin
1521,Migraine,aspirin / butalbital / caffeine
1522,Migraine,cyclobenzaprine
1523,Migraine,diclofenac
1524,Migraine,naratriptan
1525,Migraine,almotriptan
1526,Migraine,zolmitriptan
1527,Migraine,eletriptan
1528,Migraine,sumatriptan
1529,Migraine,rizatriptan
1530,Migraine,gabapentin
1531,Migraine,aspirin / butalbital / caffeine
1532,Migraine,cyclobenzaprine
1533,Migraine,diclofenac
1534,Migraine,naratriptan
1535,Migraine,almotriptan
1536,Migraine,zolmitriptan
1537,Migraine,eletriptan
1538,Basal Cell Carcinoma,fluorouracil
1539,Basal Cell Carcinoma,imiquimod
1540,Basal Cell Carcinoma,vismodegib
1541,Basal Cell Carcinoma,sonidegib
1542,Body Dysmorphic Disorder,escitalopram
1543,Body Dysmorphic Disorder,fluoxetine
1544,Body Dysmorphic Disorder,sertraline
1545,Body Dysmorphic Disorder,citalopram
1546,Body Dysmorphic Disorder,risperidone
1547,Body Dysmorphic Disorder,paroxetine
1548,Body Dysmorphic Disorder,olanzapine
1549,Body Dysmorphic Disorder,ziprasidone
1550,Body Dysmorphic Disorder,fluvoxamine
1551,Tinea Barbae,griseofulvin
1552,Binge Eating Disorder,fluoxetine
1553,Binge Eating Disorder,lisdexamfetamine
1554,Dermal Ulcer,collagenase
1555,Dermal Ulcer,becaplermin
1556,Dermal Ulcer,cadexomer iodine
1557,Enuresis,imipramine
1558,Enuresis,belladonna
1559,Beef Tapeworm Infection (Taenia saginata),praziquantel
1560,Beef Tapeworm Infection (Taenia saginata),paromomycin
1561,Behcet's Disease,colchicine
1562,Behcet's Disease,azathioprine
1563,Behcet's Disease,infliximab
1564,Behcet's Disease,adalimumab
1565,Behcet's Disease,etanercept
1566,Behcet's Disease,apremilast
1567,Bejel,penicillin g benzathine
1568,Gas,simethicone
1569,Gas,aluminum hydroxide / magnesium hydroxide / simethicone
1570,Bejel,penicillin g benzathine
1571,Benign Essential Tremor,propranolol
1572,Benign Essential Tremor,primidone
1573,Benign Essential Tremor,gabapentin
1574,Benign Essential Tremor,nadolol
1575,Benign Essential Tremor,metoprolol
1576,Benign Essential Tremor,zonisamide
1577,Muscle Twitching (Fasciculations),baclofen
1578,Pseudotumor Cerebri,acetazolamide
1579,Chronic Fatigue Syndrome,modafinil
1580,Chronic Fatigue Syndrome,duloxetine
1581,Chronic Fatigue Syndrome,lisdexamfetamine
1582,Chronic Fatigue Syndrome,amantadine
1583,Chronic Fatigue Syndrome,armodafinil
1584,Vertigo,meclizine
1585,Vertigo,promethazine
1586,Benign Prostatic Hyperplasia,tamsulosin
1587,Benign Prostatic Hyperplasia,finasteride
1588,Benign Prostatic Hyperplasia,doxazosin
1589,Benign Prostatic Hyperplasia,terazosin
1590,Benign Prostatic Hyperplasia,alfuzosin
1591,Benign Prostatic Hyperplasia,tadalafil
1592,Benign Prostatic Hyperplasia,dutasteride
1593,Benign Prostatic Hyperplasia,prazosin
1594,Benign Prostatic Hyperplasia,silodosin
1595,Benign Prostatic Hyperplasia,dutasteride / tamsulosin
1596,Benign Prostatic Hyperplasia,tamsulosin
1597,Benign Prostatic Hyperplasia,finasteride
1598,Benign Prostatic Hyperplasia,doxazosin
1599,Benign Prostatic Hyperplasia,terazosin
1600,Benign Prostatic Hyperplasia,alfuzosin
1601,Benign Prostatic Hyperplasia,tadalafil
1602,Benign Prostatic Hyperplasia,dutasteride
1603,Benign Prostatic Hyperplasia,prazosin
1604,Benign Prostatic Hyperplasia,silodosin
1605,Benign Prostatic Hyperplasia,dutasteride / tamsulosin
1606,Benign Prostatic Hyperplasia,tamsulosin
1607,Benign Prostatic Hyperplasia,finasteride
1608,Benign Prostatic Hyperplasia,doxazosin
1609,Benign Prostatic Hyperplasia,terazosin
1610,Benign Prostatic Hyperplasia,alfuzosin
1611,Benign Prostatic Hyperplasia,tadalafil
1612,Benign Prostatic Hyperplasia,dutasteride
1613,Benign Prostatic Hyperplasia,prazosin
1614,Benign Prostatic Hyperplasia,silodosin
1615,Benign Prostatic Hyperplasia,dutasteride / tamsulosin
1616,Benzodiazepine Overdose,flumazenil
1617,Benzodiazepine Withdrawal,clonazepam
1618,Benzodiazepine Withdrawal,clonidine
1619,IgA Nephropathy,cyclophosphamide
1620,Beriberi,thiamine
1621,Berylliosis,prednisone
1622,Berylliosis,triamcinolone
1623,Berylliosis,cortisone
1624,Berylliosis,prednisone
1625,Berylliosis,triamcinolone
1626,Berylliosis,cortisone
1627,Beta Thalassemia,luspatercept
1628,Muscle Twitching (Fasciculations),baclofen
1629,Neurofibromatosis,bevacizumab
1630,Bile Acid Synthesis Disorders,cholic acid
1631,Primary Biliary Cholangitis,ursodiol
1632,Primary Biliary Cholangitis,colchicine
1633,Primary Biliary Cholangitis,azathioprine
1634,Primary Biliary Cholangitis,obeticholic acid
1635,Primary Biliary Cholangitis,ursodiol
1636,Primary Biliary Cholangitis,colchicine
1637,Primary Biliary Cholangitis,azathioprine
1638,Primary Biliary Cholangitis,obeticholic acid
1639,Mitral Valve Prolapse,atenolol
1640,Mitral Valve Prolapse,metoprolol
1641,Mitral Valve Prolapse,propranolol
1642,Mitral Valve Prolapse,bisoprolol
1643,Mitral Valve Prolapse,nebivolol
1644,Mitral Valve Prolapse,nadolol
1645,Mitral Valve Prolapse,labetalol
1646,Binge Eating Disorder,fluoxetine
1647,Binge Eating Disorder,lisdexamfetamine
1648,Bipolar Disorder,lamotrigine
1649,Bipolar Disorder,lithium
1650,Bipolar Disorder,quetiapine
1651,Bipolar Disorder,gabapentin
1652,Bipolar Disorder,clonazepam
1653,Bipolar Disorder,divalproex sodium
1654,Bipolar Disorder,bupropion
1655,Bipolar Disorder,oxcarbazepine
1656,Bipolar Disorder,risperidone
1657,Bipolar Disorder,sertraline
1658,Bipolar Disorder,aripiprazole
1659,Bipolar Disorder,topiramate
1660,Bipolar Disorder,olanzapine
1661,Bipolar Disorder,venlafaxine
1662,Bipolar Disorder,lamotrigine
1663,Bipolar Disorder,lithium
1664,Bipolar Disorder,quetiapine
1665,Bipolar Disorder,gabapentin
1666,Bipolar Disorder,clonazepam
1667,Bipolar Disorder,divalproex sodium
1668,Bipolar Disorder,bupropion
1669,Bipolar Disorder,oxcarbazepine
1670,Bipolar Disorder,risperidone
1671,Bipolar Disorder,sertraline
1672,Bipolar Disorder,aripiprazole
1673,Bipolar Disorder,topiramate
1674,Bipolar Disorder,olanzapine
1675,Bipolar Disorder,venlafaxine
1676,Bipolar Disorder,lamotrigine
1677,Bipolar Disorder,lithium
1678,Bipolar Disorder,quetiapine
1679,Bipolar Disorder,gabapentin
1680,Bipolar Disorder,clonazepam
1681,Bipolar Disorder,divalproex sodium
1682,Bipolar Disorder,bupropion
1683,Bipolar Disorder,oxcarbazepine
1684,Bipolar Disorder,risperidone
1685,Bipolar Disorder,sertraline
1686,Bipolar Disorder,aripiprazole
1687,Bipolar Disorder,topiramate
1688,Bipolar Disorder,olanzapine
1689,Bipolar Disorder,venlafaxine
1690,Bipolar Disorder,lamotrigine
1691,Bipolar Disorder,lithium
1692,Bipolar Disorder,quetiapine
1693,Bipolar Disorder,gabapentin
1694,Bipolar Disorder,clonazepam
1695,Bipolar Disorder,divalproex sodium
1696,Bipolar Disorder,bupropion
1697,Bipolar Disorder,oxcarbazepine
1698,Bipolar Disorder,risperidone
1699,Bipolar Disorder,sertraline
1700,Bipolar Disorder,aripiprazole
1701,Bipolar Disorder,topiramate
1702,Bipolar Disorder,olanzapine
1703,Bipolar Disorder,venlafaxine
1704,Bipolar Disorder,lamotrigine
1705,Bipolar Disorder,lithium
1706,Bipolar Disorder,quetiapine
1707,Bipolar Disorder,gabapentin
1708,Bipolar Disorder,clonazepam
1709,Bipolar Disorder,divalproex sodium
1710,Bipolar Disorder,bupropion
1711,Bipolar Disorder,oxcarbazepine
1712,Bipolar Disorder,risperidone
1713,Bipolar Disorder,sertraline
1714,Bipolar Disorder,aripiprazole
1715,Bipolar Disorder,topiramate
1716,Bipolar Disorder,olanzapine
1717,Bipolar Disorder,venlafaxine
1718,Avian Influenza,oseltamivir
1719,Avian Influenza,"influenza virus vaccine, h5n1"
1720,Birth Control (Contraception),levonorgestrel
1721,Birth Control (Contraception),norethindrone
1722,Birth Control (Contraception),ethinyl estradiol / norgestimate
1723,Birth Control (Contraception),ethinyl estradiol / levonorgestrel
1724,Birth Control (Contraception),ethinyl estradiol / norethindrone
1725,Birth Control (Contraception),medroxyprogesterone
1726,Hemangioma,propranolol
1727,Acne,doxycycline
1728,Acne,spironolactone
1729,Acne,minocycline
1730,Acne,clindamycin
1731,Acne,tretinoin
1732,Acne,isotretinoin
1733,Acne,benzoyl peroxide
1734,Acne,adapalene
1735,Acne,tetracycline
1736,Acne,cephalexin
1737,Acne,sulfamethoxazole / trimethoprim
1738,Urinary Tract Stones,tamsulosin
1739,Urinary Tract Stones,allopurinol
1740,Urinary Tract Stones,magnesium oxide
1741,Urinary Tract Stones,citric acid / potassium citrate
1742,Urinary Tract Stones,citric acid / sodium citrate
1743,Bladder Cancer,mitomycin
1744,Bladder Cancer,cisplatin
1745,Bladder Cancer,atezolizumab
1746,Bladder Cancer,methotrexate
1747,Bladder Cancer,doxorubicin
1748,Bladder Cancer,thiotepa
1749,Bladder Cancer,cyclophosphamide
1750,Bladder Cancer,erdafitinib
1751,Overactive Bladder,darifenacin
1752,Overactive Bladder,onabotulinumtoxinA
1753,Bladder Infection,ciprofloxacin
1754,Bladder Infection,nitrofurantoin
1755,Bladder Infection,cephalexin
1756,Bladder Infection,amoxicillin
1757,Bladder Infection,levofloxacin
1758,Bladder Infection,trimethoprim
1759,Bladder Infection,cefuroxime
1760,Bladder Infection,methenamine
1761,Bladder Infection,cefpodoxime
1762,Bladder Infection,fosfomycin
1763,Overactive Bladder,darifenacin
1764,Overactive Bladder,onabotulinumtoxinA
1765,Interstitial Cystitis,phenazopyridine
1766,Interstitial Cystitis,amitriptyline
1767,Interstitial Cystitis,hydroxyzine
1768,Interstitial Cystitis,pentosan polysulfate sodium
1769,Interstitial Cystitis,trospium
1770,Interstitial Cystitis,imipramine
1771,Interstitial Cystitis,dimethyl sulfoxide
1772,Urinary Tract Stones,tamsulosin
1773,Urinary Tract Stones,allopurinol
1774,Urinary Tract Stones,magnesium oxide
1775,Urinary Tract Stones,citric acid / potassium citrate
1776,Urinary Tract Stones,citric acid / sodium citrate
1777,Urinary Incontinence,oxybutynin
1778,Urinary Incontinence,tolterodine
1779,Urinary Incontinence,amitriptyline
1780,Urinary Incontinence,mirabegron
1781,Urinary Incontinence,solifenacin
1782,Urinary Incontinence,hyoscyamine
1783,Urinary Incontinence,trospium
1784,Urinary Incontinence,duloxetine
1785,Urinary Incontinence,fesoterodine
1786,Urinary Incontinence,darifenacin
1787,Blastomycosis,fluconazole
1788,Blastomycosis,itraconazole
1789,Blastomycosis,ketoconazole
1790,Blastomycosis,voriconazole
1791,Blastomycosis,amphotericin b
1792,Blastomycosis,amphotericin b lipid complex
1793,Bleeding Disorder,tranexamic acid
1794,Bleeding Disorder,goserelin
1795,Bleeding Disorder,"dextran, high molecular weight"
1796,Abnormal Uterine Bleeding,medroxyprogesterone
1797,Abnormal Uterine Bleeding,norethindrone
1798,Abnormal Uterine Bleeding,megestrol
1799,Abnormal Uterine Bleeding,levonorgestrel
1800,Abnormal Uterine Bleeding,ethinyl estradiol / levonorgestrel
1801,Abnormal Uterine Bleeding,ethinyl estradiol / norgestimate
1802,Abnormal Uterine Bleeding,ethinyl estradiol / norethindrone
1803,Abnormal Uterine Bleeding,desogestrel / ethinyl estradiol
1804,Blepharitis,dexamethasone / neomycin / polymyxin b
1805,Blepharitis,bacitracin / polymyxin b
1806,Blepharitis,prednisolone / sulfacetamide sodium
1807,Blepharitis,bacitracin / neomycin / polymyxin b
1808,Blepharitis,hydrocortisone / neomycin / polymyxin b
1809,Blepharitis,gentamicin / prednisolone
1810,Blepharoconjunctivitis,polymyxin b / trimethoprim
1811,Blepharoconjunctivitis,bacitracin / polymyxin b
1812,Blepharoconjunctivitis,bacitracin / neomycin / polymyxin b
1813,Blepharospasm,incobotulinumtoxinA
1814,Blepharospasm,onabotulinumtoxinA
1815,Abdominal Distension,bethanechol
1816,Abdominal Distension,pamabrom
1817,Nasal Congestion,pseudoephedrine
1818,Nasal Congestion,phenylephrine
1819,Nasal Congestion,oxymetazoline
1820,Nasal Congestion,loratadine / pseudoephedrine
1821,Nasal Congestion,sodium chloride
1822,Nasal Congestion,phenylephrine
1823,Nasal Congestion,epinephrine
1824,Nasal Congestion,xylometazoline
1825,Blood Cell Transplantation,cisplatin
1826,Deep Vein Thrombosis,enoxaparin
1827,Deep Vein Thrombosis,rivaroxaban
1828,Deep Vein Thrombosis,heparin
1829,Deep Vein Thrombosis,apixaban
1830,Deep Vein Thrombosis,dabigatran
1831,Deep Vein Thrombosis,fondaparinux
1832,Deep Vein Thrombosis,edoxaban
1833,Deep Vein Thrombosis,urokinase
1834,Blood Disorders,hetastarch
1835,Burning Mouth Syndrome (Glossopyrosis),clonazepam
1836,Burning Mouth Syndrome (Glossopyrosis),gabapentin
1837,Burning Mouth Syndrome (Glossopyrosis),lidocaine
1838,Burning Mouth Syndrome (Glossopyrosis),amitriptyline
1839,Burning Mouth Syndrome (Glossopyrosis),nortriptyline
1840,Burning Mouth Syndrome (Glossopyrosis),capsaicin
1841,Burning Mouth Syndrome (Glossopyrosis),chlordiazepoxide
1842,Body Dysmorphic Disorder,escitalopram
1843,Body Dysmorphic Disorder,fluoxetine
1844,Body Dysmorphic Disorder,sertraline
1845,Body Dysmorphic Disorder,citalopram
1846,Body Dysmorphic Disorder,risperidone
1847,Body Dysmorphic Disorder,paroxetine
1848,Body Dysmorphic Disorder,olanzapine
1849,Body Dysmorphic Disorder,ziprasidone
1850,Body Dysmorphic Disorder,fluvoxamine
1851,Body Imaging,iohexol
1852,Body Imaging,ioversol
1853,Lice,permethrin
1854,Lice,lindane
1855,Lice,piperonyl butoxide / pyrethrins
1856,Lice,spinosad
1857,Tinea Corporis,betamethasone / clotrimazole
1858,Tinea Corporis,ketoconazole
1859,Tinea Corporis,clotrimazole
1860,Tinea Corporis,terbinafine
1861,Tinea Corporis,miconazole
1862,Tinea Corporis,fluconazole
1863,Tinea Corporis,econazole
1864,Tinea Corporis,ketoconazole
1865,Tinea Corporis,griseofulvin
1866,Tinea Corporis,tolnaftate
1867,Tinea Corporis,terbinafine
1868,Tinea Corporis,ciclopirox
1869,Osteosarcoma,methotrexate
1870,Osteosarcoma,doxorubicin
1871,Osteosarcoma,cyclophosphamide
1872,Osteosarcoma,dactinomycin
1873,Bone infection (Osteomyelitis),cephalexin
1874,Bone infection (Osteomyelitis),clindamycin
1875,Bone infection (Osteomyelitis),vancomycin
1876,Bone infection (Osteomyelitis),ciprofloxacin
1877,Bone infection (Osteomyelitis),ceftriaxone
1878,Bone infection (Osteomyelitis),cefazolin
1879,Bone infection (Osteomyelitis),cefuroxime
1880,Bone infection (Osteomyelitis),metronidazole
1881,Bone infection (Osteomyelitis),piperacillin / tazobactam
1882,Bone infection (Osteomyelitis),dicloxacillin
1883,Bone infection (Osteomyelitis),cefotaxime
1884,Bone infection (Osteomyelitis),ceftazidime
1885,Bone infection (Osteomyelitis),gentamicin
1886,Bone infection (Osteomyelitis),ofloxacin
1887,Bone Marrow Transplantation,fluconazole
1888,Bone Marrow Transplantation,filgrastim
1889,Bone Marrow Transplantation,busulfan
1890,Bone Marrow Transplantation,immune globulin intravenous
1891,Bone Marrow Transplantation,cisplatin
1892,Bone Marrow Transplantation,sargramostim
1893,"Bone Marrow Transplantation, Failure or Engraftment Delay",sargramostim
1894,"Bone Marrow Transplantation, Myeloid Reconstruction",sargramostim
